        11: (97,97,176,255) #6161B0FF srgba(97,97,176,1)
         5: (98,98,177,255) #6262B1FF srgba(98,98,177,1)
         8: (99,99,177,255) #6363B1FF srgba(99,99,177,1)
         5: (100,100,178,255) #6464B2FF srgba(100,100,178,1)
         8: (101,101,178,255) #6565B2FF srgba(101,101,178,1)
        29: (102,102,179,255) #6666B3FF srgba(102,102,179,1)
         9: (103,103,179,255) #6767B3FF srgba(103,103,179,1)
         9: (104,104,180,255) #6868B4FF srgba(104,104,180,1)
         7: (105,105,180,255) #6969B4FF srgba(105,105,180,1)
         1: (106,106,181,255) #6A6AB5FF srgba(106,106,181,1)
         4: (107,107,181,255) #6B6BB5FF srgba(107,107,181,1)
         2: (108,108,182,255) #6C6CB6FF srgba(108,108,182,1)
         4: (109,109,182,255) #6D6DB6FF srgba(109,109,182,1)
         7: (110,110,183,255) #6E6EB7FF srgba(110,110,183,1)
         8: (111,111,183,255) #6F6FB7FF srgba(111,111,183,1)
         4: (112,112,184,255) #7070B8FF srgba(112,112,184,1)
         9: (113,113,184,255) #7171B8FF srgba(113,113,184,1)
         8: (114,114,185,255) #7272B9FF srgba(114,114,185,1)
         5: (115,115,185,255) #7373B9FF srgba(115,115,185,1)
         7: (116,116,186,255) #7474BAFF srgba(116,116,186,1)
         4: (117,117,186,255) #7575BAFF srgba(117,117,186,1)
         8: (118,118,187,255) #7676BBFF srgba(118,118,187,1)
        10: (119,119,187,255) #7777BBFF srgba(119,119,187,1)
         4: (120,120,188,255) #7878BCFF srgba(120,120,188,1)
        12: (121,121,188,255) #7979BCFF srgba(121,121,188,1)
         8: (122,122,189,255) #7A7ABDFF srgba(122,122,189,1)
        12: (123,123,189,255) #7B7BBDFF srgba(123,123,189,1)
         6: (124,124,190,255) #7C7CBEFF srgba(124,124,190,1)
         3: (125,125,190,255) #7D7DBEFF srgba(125,125,190,1)
         6: (126,126,191,255) #7E7EBFFF srgba(126,126,191,1)
         6: (127,127,191,255) #7F7FBFFF srgba(127,127,191,1)
         3: (128,128,192,255) #8080C0FF srgba(128,128,192,1)
         7: (129,129,192,255) #8181C0FF srgba(129,129,192,1)
         7: (130,130,193,255) #8282C1FF srgba(130,130,193,1)
         8: (131,131,193,255) #8383C1FF srgba(131,131,193,1)
         5: (132,132,194,255) #8484C2FF srgba(132,132,194,1)
         7: (133,133,194,255) #8585C2FF srgba(133,133,194,1)
         5: (134,134,195,255) #8686C3FF srgba(134,134,195,1)
         3: (135,135,195,255) #8787C3FF srgba(135,135,195,1)
        13: (136,136,196,255) #8888C4FF srgba(136,136,196,1)
         8: (137,137,196,255) #8989C4FF srgba(137,137,196,1)
         3: (138,138,197,255) #8A8AC5FF srgba(138,138,197,1)
         6: (139,139,197,255) #8B8BC5FF srgba(139,139,197,1)
         9: (140,140,198,255) #8C8CC6FF srgba(140,140,198,1)
         2: (141,141,198,255) #8D8DC6FF srgba(141,141,198,1)
         5: (142,142,199,255) #8E8EC7FF srgba(142,142,199,1)
